bri,mired,watt
91,273,3.24
91,283,3.17
91,293,3.24
91,303,3.27
91,313,3.22
91,323,3.28
91,333,3.28
91,343,3.24
91,353,3.24
91,363,3.2
91,373,3.23
91,383,3.14
91,393,3.24
91,403,3.12
91,413,3.1
91,423,3.15
91,433,3.14
91,443,3.12
91,453,3.11
91,463,3.13
91,473,3.23
91,483,3.23
91,493,3.25
91,500,3.24
96,153,3.39
96,163,3.25
96,173,3.31
96,183,3.22
96,193,3.31
96,203,3.31
96,213,3.34
96,223,3.3
96,233,3.37
96,243,3.36
96,253,3.38
96,263,3.27
96,273,3.3
96,283,3.34
96,293,3.3
96,303,3.31
96,313,3.33
96,323,3.31
96,333,3.31
96,343,3.35
96,353,3.26
96,363,3.43
96,373,3.34
96,383,3.34
96,393,3.39
96,403,3.27
96,413,3.26
96,423,3.26
96,433,3.25
96,443,3.24
96,453,3.21
96,463,3.26
96,473,3.32
96,483,3.3
96,493,3.31
96,500,3.35
101,153,3.5
101,163,3.42
101,173,3.43
101,183,3.41
101,193,3.39
101,203,3.35
101,213,3.3
101,223,3.31
101,233,3.23
101,243,3.21
101,253,3.22
101,263,3.11
101,273,3.15
101,283,3.09
101,293,3.08
101,303,3.07
101,313,3.06
101,323,3.05
101,333,3.05
101,343,3.09
101,353,3.15
101,363,3.21
101,373,3.17
101,383,3.18
101,393,3.18
101,403,3.25
101,413,3.28
101,423,3.33
101,433,3.33
101,443,3.37
101,453,3.44
101,463,3.41
101,473,3.36
101,483,3.46
101,493,3.61
101,500,3.45
106,153,3.52
106,163,3.54
106,173,3.58
106,183,3.59
106,193,3.56
106,203,3.66
106,213,3.59
106,223,3.56
106,233,3.54
106,243,3.6
106,253,3.56
106,263,3.55
106,273,3.59
106,283,3.58
106,293,3.53
106,303,3.58
106,313,3.59
106,323,3.62
106,333,3.64
106,343,3.63
106,353,3.63
106,363,3.58
106,373,3.58
106,383,3.63
106,393,3.6
106,403,3.65
106,413,3.53
106,423,3.57
106,433,3.48
106,443,3.48
106,453,3.53
106,463,3.53
106,473,3.53
106,483,3.56
106,493,3.57
106,500,3.6
111,153,3.62
111,163,3.63
111,173,3.62
111,183,3.54
111,193,3.5
111,203,3.48
111,213,3.5
111,223,3.46
111,233,3.52
111,243,3.39
111,253,3.39
111,263,3.38
111,273,3.37
111,283,3.37
111,293,3.44
111,303,3.42
111,313,3.42
111,323,3.45
111,333,3.5
111,343,3.54
111,353,3.5
111,363,3.56
111,373,3.58
111,383,3.62
111,393,3.62
111,403,3.8
111,413,3.7
111,423,3.7
111,433,3.69
111,443,3.73
111,453,3.69
111,463,3.68
111,473,3.62
111,483,3.69
111,493,3.72
111,500,3.7
116,153,3.79
116,163,3.78
116,173,3.72
116,183,3.69
116,193,3.65
116,203,3.67
116,213,3.7
116,223,3.78
116,233,3.82
116,243,3.81
116,253,3.82
116,263,3.76
116,273,3.76
116,283,3.86
116,293,3.81
116,303,3.76
116,313,3.77
116,323,3.78
116,333,3.82
116,343,3.84
116,353,3.83
116,363,3.9
116,373,3.82
116,383,3.88
116,393,3.75
116,403,3.88
116,413,3.82
116,423,3.86
116,433,3.91
116,443,3.88
116,453,3.89
116,463,3.87
116,473,3.83
116,483,3.87
116,493,3.85
116,500,3.79
121,153,3.93
121,163,3.94
121,173,3.92
121,183,3.93
121,193,3.89
121,203,3.93
121,213,3.86
121,223,3.93
121,233,3.92
121,243,3.98
121,253,3.92
121,263,3.96
121,273,3.94
121,283,3.84
121,293,3.82
121,303,3.82
121,313,3.79
121,323,3.78
121,333,3.7
121,343,3.78
121,353,3.67
121,363,3.72
121,373,3.68
121,383,3.58
121,393,3.65
121,403,3.65
121,413,3.68
121,423,3.77
121,433,3.75
121,443,3.72
121,453,3.85
121,463,3.86
121,473,3.91
121,483,3.86
121,493,3.97
121,500,3.9
126,153,4.04
126,163,3.95
126,173,4.0
126,183,3.9
126,193,3.87
126,203,3.87
126,213,3.81
126,223,3.84
126,233,3.82
126,243,3.84
126,253,3.71
126,263,3.74
126,273,3.67
126,283,3.68
126,293,3.59
126,303,3.61
126,313,3.64
126,323,3.69
126,333,3.71
126,343,3.74
126,353,3.74
126,363,3.77
126,373,3.76
126,383,3.86
126,393,3.85
126,403,3.92
126,413,3.91
126,423,4.04
126,433,4.0
126,443,4.03
126,453,4.07
126,463,4.13
126,473,4.12
126,483,4.12
126,493,4.12
126,500,4.07
131,153,4.07
131,163,4.18
131,173,4.2
131,183,4.13
131,193,4.19
131,203,4.21
131,213,4.14
131,223,4.11
131,233,4.18
131,243,4.17
131,253,4.12
131,263,4.21
131,273,4.18
131,283,4.23
131,293,4.21
131,303,4.11
131,313,4.17
131,323,4.13
131,333,4.19
131,343,4.06
131,353,4.02
131,363,3.99
131,373,3.98
131,383,3.95
131,393,3.93
131,403,3.95
131,413,3.9
131,423,4.0
131,433,3.92
131,443,3.98
131,453,4.07
131,463,4.11
131,473,4.11
131,483,4.09
131,493,4.22
131,500,4.18
136,153,4.28
136,163,4.24
136,173,4.2
136,183,4.16
136,193,4.17
136,203,4.14
136,213,4.2
136,223,4.21
136,233,4.34
136,243,4.28
136,253,4.3
136,263,4.29
136,273,4.32
136,283,4.26
136,293,4.27
136,303,4.29
136,313,4.3
136,323,4.3
136,333,4.42
136,343,4.3
136,353,4.38
136,363,4.25
